Booking_ID,no_of_adults,no_of_children,no_of_weekend_nights,no_of_week_nights,type_of_meal_plan,required_car_parking_space,room_type_reserved,lead_time,arrival_year,arrival_month,arrival_date,market_segment_type,repeated_guest,no_of_previous_cancellations,no_of_previous_bookings_not_canceled,avg_price_per_room,no_of_special_requests,booking_status
inn00108,2,0,1,3,meal plan 1,0,room_type 4,0,2017,9,21,online,0,0,0,155.0,1,not_canceled
inn00109,2,0,0,1,not selected,0,room_type 1,12,2018,6,30,online,0,0,0,101.68,1,not_canceled
inn00110,2,0,2,1,meal plan 1,0,room_type 1,32,2017,9,5,online,0,0,0,94.5,3,not_canceled
inn00111,2,0,0,2,meal plan 1,0,room_type 1,182,2018,9,30,online,0,0,0,117.9,2,canceled
inn00112,2,0,1,0,not selected,0,room_type 1,1,2018,6,27,online,0,0,0,127.0,1,not_canceled
inn00113,2,0,0,3,not selected,0,room_type 1,122,2018,6,16,online,0,0,0,116.1,2,not_canceled
inn00114,2,0,2,3,meal plan 1,0,room_type 1,40,2018,6,30,online,0,0,0,117.9,1,not_canceled
inn00115,2,2,2,2,meal plan 1,0,room_type 2,116,2018,6,26,online,0,0,0,184.24,1,canceled
inn00116,3,0,2,2,meal plan 1,1,room_type 4,123,2018,8,13,online,0,0,0,155.7,1,not_canceled
inn00117,3,0,2,5,meal plan 1,0,room_type 4,40,2018,4,22,online,0,0,0,135.76,0,canceled
inn00118,2,1,2,5,meal plan 1,0,room_type 1,105,2018,11,12,online,0,0,0,102.83,3,not_canceled
inn00119,2,0,0,1,meal plan 1,0,room_type 1,443,2018,4,29,online,0,0,0,65.0,0,canceled
inn00120,2,0,2,3,meal plan 1,0,room_type 1,2,2017,11,14,online,0,0,0,103.0,1,not_canceled
inn00121,2,0,0,3,meal plan 1,0,room_type 1,317,2018,9,1,online,0,0,0,106.2,1,canceled
inn00122,2,0,0,2,meal plan 2,0,room_type 1,286,2018,9,16,offline,0,0,0,58.5,0,not_canceled
inn00123,2,0,1,3,meal plan 1,0,room_type 1,68,2018,3,10,online,0,0,0,73.95,0,canceled
inn00124,2,0,0,3,meal plan 1,0,room_type 1,148,2018,5,5,online,0,0,0,105.3,0,not_canceled
inn00125,3,0,2,0,meal plan 1,0,room_type 4,68,2018,4,24,online,0,0,0,133.2,2,not_canceled
inn00126,2,0,0,2,meal plan 1,0,room_type 1,30,2018,3,30,offline,0,0,0,85.5,0,not_canceled
inn00127,1,0,0,1,meal plan 1,0,room_type 1,14,2018,11,3,online,0,0,0,112.0,1,canceled
inn00128,2,2,0,2,meal plan 1,0,room_type 6,110,2018,10,14,online,0,0,0,190.8,0,canceled
inn00129,1,0,2,3,meal plan 1,0,room_type 1,117,2018,6,5,offline,0,0,0,110.0,0,not_canceled
inn00130,2,0,1,4,meal plan 1,0,room_type 4,85,2018,7,13,online,0,0,0,91.48,1,not_canceled
inn00131,2,0,0,2,not selected,0,room_type 1,1,2018,10,20,online,0,0,0,135.0,2,not_canceled
inn00132,1,0,1,2,meal plan 1,0,room_type 1,25,2018,10,17,online,0,0,0,129.0,2,not_canceled
inn00133,2,0,2,4,not selected,0,room_type 1,289,2018,12,28,online,0,0,0,70.55,2,canceled
inn00134,2,0,1,4,meal plan 1,0,room_type 4,28,2017,10,19,offline,0,0,0,75.0,0,not_canceled
inn00135,1,0,0,4,not selected,0,room_type 1,80,2018,3,29,online,0,0,0,72.25,0,not_canceled
inn00136,2,0,0,1,meal plan 1,0,room_type 4,11,2017,10,9,online,0,0,0,155.0,2,not_canceled
inn00137,2,1,1,0,meal plan 1,0,room_type 1,162,2018,7,25,online,0,0,0,121.5,2,canceled
inn00138,2,0,2,5,meal plan 1,0,room_type 1,155,2018,6,28,online,0,0,0,90.95,2,not_canceled
inn00139,1,0,2,2,meal plan 1,0,room_type 1,82,2018,5,22,online,0,0,0,109.65,0,not_canceled
inn00140,3,0,2,4,meal plan 1,0,room_type 4,27,2018,4,15,online,0,0,0,142.72,0,canceled
inn00141,1,0,1,2,meal plan 1,0,room_type 1,13,2018,5,9,offline,0,0,0,90.0,0,not_canceled
inn00142,2,0,0,2,meal plan 1,0,room_type 1,245,2018,6,17,online,0,0,0,75.0,0,canceled
inn00143,2,0,0,2,meal plan 1,0,room_type 1,11,2018,11,18,online,0,0,0,111.0,1,canceled
inn00144,2,0,2,2,meal plan 1,0,room_type 1,266,2018,10,30,online,0,0,0,86.7,2,not_canceled
inn00145,2,0,1,0,meal plan 1,0,room_type 1,39,2018,3,28,online,0,0,0,117.9,1,not_canceled
inn00146,1,0,0,2,meal plan 1,0,room_type 1,13,2018,6,1,complementary,1,3,5,0.0,1,not_canceled
inn00147,2,0,0,4,not selected,0,room_type 1,112,2018,5,4,online,0,0,0,101.58,1,not_canceled
inn00148,2,0,1,2,not selected,0,room_type 1,88,2018,4,8,online,0,0,0,58.9,1,not_canceled
inn00149,2,0,0,1,meal plan 1,0,room_type 1,56,2018,6,8,offline,0,0,0,120.0,0,not_canceled
inn00150,2,0,2,3,meal plan 1,0,room_type 4,73,2018,4,7,online,0,0,0,107.1,0,canceled
inn00151,2,0,1,1,meal plan 1,0,room_type 1,80,2018,5,2,online,0,0,0,126.9,1,not_canceled
inn00152,2,0,0,3,meal plan 1,0,room_type 4,130,2018,9,29,online,0,0,0,139.5,2,canceled
inn00153,2,0,1,3,not selected,0,room_type 1,69,2018,4,4,online,0,0,0,80.75,1,not_canceled
inn00154,2,0,0,2,meal plan 2,0,room_type 1,273,2017,7,17,online,0,0,0,109.0,0,canceled
inn00155,2,0,0,1,meal plan 2,0,room_type 1,55,2018,4,6,offline,0,0,0,104.0,0,not_canceled
inn00156,1,0,0,3,meal plan 1,0,room_type 1,4,2018,11,1,corporate,1,1,5,65.0,1,not_canceled
inn00157,2,0,0,3,meal plan 1,0,room_type 4,97,2018,5,24,online,0,0,0,140.4,0,not_canceled
inn00158,2,0,0,3,meal plan 1,0,room_type 1,44,2018,2,17,offline,0,0,0,75.0,0,not_canceled
inn00159,2,0,0,1,not selected,0,room_type 1,31,2018,4,14,online,0,0,0,94.5,0,canceled
inn00160,2,0,1,0,not selected,0,room_type 1,0,2018,6,5,online,0,0,0,109.0,0,not_canceled
inn00161,2,0,2,2,meal plan 1,0,room_type 1,62,2018,11,12,online,0,0,0,105.0,2,not_canceled
inn00162,2,0,2,2,meal plan 1,0,room_type 4,86,2018,4,17,online,0,0,0,107.95,1,not_canceled
inn00163,3,0,2,2,meal plan 1,0,room_type 7,3,2018,10,7,online,0,0,0,215.6,1,not_canceled
inn00164,2,0,1,1,not selected,0,room_type 1,197,2018,8,1,online,0,0,0,85.5,1,not_canceled
inn00165,2,0,0,2,meal plan 1,0,room_type 1,143,2018,7,12,online,0,0,0,105.3,2,not_canceled
inn00166,1,0,2,1,meal plan 2,0,room_type 1,23,2018,1,2,online,0,0,0,1.0,0,not_canceled
inn00167,2,0,0,2,meal plan 1,0,room_type 4,8,2018,6,15,online,0,0,0,156.0,0,canceled
inn00168,1,0,0,2,meal plan 1,0,room_type 1,13,2018,11,16,online,0,0,0,73.15,1,not_canceled
inn00169,2,0,1,2,meal plan 1,0,room_type 1,280,2018,9,19,online,0,0,0,110.0,0,canceled
inn00170,2,1,1,0,not selected,0,room_type 1,11,2017,9,13,online,0,0,0,87.4,1,not_canceled
inn00171,2,0,0,2,meal plan 1,0,room_type 1,317,2018,9,15,online,0,0,0,120.0,0,canceled
inn00172,2,0,1,2,not selected,0,room_type 1,185,2018,12,16,online,0,0,0,79.2,0,canceled
inn00173,2,0,1,3,meal plan 1,0,room_type 1,160,2018,6,30,online,0,0,0,90.95,1,not_canceled
inn00174,2,0,0,4,meal plan 1,0,room_type 1,104,2018,10,18,online,0,0,0,91.48,1,not_canceled
inn00175,2,1,0,1,meal plan 1,0,room_type 1,11,2018,11,5,online,0,0,0,150.0,1,canceled
inn00176,2,0,0,1,not selected,0,room_type 1,2,2018,3,22,online,0,0,0,89.0,0,not_canceled
inn00177,2,0,1,4,not selected,0,room_type 1,14,2018,8,17,online,0,0,0,91.43,1,not_canceled
inn00178,2,0,0,2,meal plan 1,0,room_type 1,22,2018,5,20,offline,0,0,0,140.0,0,not_canceled
inn00179,1,1,2,5,not selected,0,room_type 1,37,2017,10,24,online,0,0,0,87.78,0,not_canceled
inn00180,2,0,0,2,meal plan 2,0,room_type 1,292,2018,7,21,online,0,0,0,115.0,0,canceled
inn00181,2,0,0,3,meal plan 1,0,room_type 1,11,2017,9,9,online,0,0,0,80.85,1,not_canceled
inn00182,2,0,1,3,meal plan 1,0,room_type 1,86,2018,3,31,online,0,0,0,82.45,1,not_canceled
inn00183,2,0,0,1,not selected,0,room_type 1,109,2018,10,11,online,0,0,0,108.0,0,canceled
inn00184,2,0,1,1,meal plan 1,0,room_type 4,72,2018,4,2,online,0,0,0,96.3,1,not_canceled
inn00185,2,0,1,5,meal plan 1,0,room_type 1,196,2018,8,22,online,0,0,0,99.45,0,canceled
inn00186,2,0,0,2,meal plan 1,0,room_type 4,56,2018,5,13,online,0,0,0,140.4,1,not_canceled
inn00187,2,0,1,3,meal plan 1,0,room_type 1,189,2018,8,8,offline,0,0,0,72.25,0,not_canceled
inn00188,2,0,1,4,meal plan 1,0,room_type 4,126,2018,8,15,online,0,0,0,126.0,0,not_canceled
inn00189,2,0,2,3,meal plan 1,0,room_type 1,303,2018,8,19,online,0,0,0,78.0,0,canceled
inn00190,1,0,2,2,meal plan 1,0,room_type 4,81,2018,11,6,online,0,0,0,146.6,1,not_canceled
inn00191,2,0,1,2,meal plan 1,0,room_type 1,54,2018,10,10,online,0,0,0,118.8,0,canceled
inn00192,1,0,0,1,meal plan 1,0,room_type 1,15,2018,10,6,online,0,0,0,145.0,0,canceled
inn00193,2,0,0,4,meal plan 1,0,room_type 1,86,2018,4,6,online,0,0,0,84.58,0,canceled
inn00194,2,0,1,2,meal plan 2,0,room_type 1,161,2018,3,25,online,0,0,0,130.0,0,canceled
inn00195,2,0,4,10,meal plan 1,0,room_type 4,147,2018,8,3,online,0,0,0,118.88,1,canceled
inn00196,2,0,1,2,meal plan 1,0,room_type 1,92,2018,5,30,offline,0,0,0,101.52,0,not_canceled
inn00197,2,0,0,1,meal plan 1,0,room_type 1,87,2017,9,11,corporate,0,0,0,100.0,0,canceled
inn00198,2,0,2,1,meal plan 1,0,room_type 1,109,2018,3,20,offline,0,0,0,58.0,0,not_canceled
inn00199,2,0,0,4,meal plan 1,0,room_type 1,127,2018,3,23,offline,0,0,0,61.5,2,not_canceled
inn00200,2,0,1,2,meal plan 2,0,room_type 1,418,2018,9,26,online,0,0,0,107.0,0,canceled
inn00201,2,0,1,4,not selected,0,room_type 1,156,2018,8,24,online,0,0,0,87.3,1,not_canceled
inn00202,2,0,0,2,meal plan 1,0,room_type 1,80,2017,7,16,online,0,0,0,76.5,1,canceled
inn00203,2,0,2,2,not selected,0,room_type 1,211,2018,12,16,online,0,0,0,63.75,0,canceled
inn00204,2,0,1,2,meal plan 1,0,room_type 1,273,2018,5,13,online,0,0,0,95.0,0,canceled
inn00205,2,0,2,1,meal plan 1,0,room_type 1,58,2018,11,19,offline,0,0,0,75.0,1,not_canceled
inn00206,2,0,0,3,meal plan 1,0,room_type 1,433,2018,9,8,online,0,0,0,70.0,0,canceled
inn00207,2,0,1,3,meal plan 1,0,room_type 1,111,2018,5,2,online,0,0,0,101.58,1,not_canceled
inn00208,2,0,2,3,meal plan 1,0,room_type 1,34,2018,8,21,offline,0,0,0,85.0,0,not_canceled
inn00209,2,0,2,4,meal plan 1,0,room_type 1,17,2018,12,3,online,0,0,0,98.39,0,not_canceled
inn00210,1,0,0,0,meal plan 1,0,room_type 1,4,2018,2,27,complementary,0,0,0,0.0,1,not_canceled
inn00211,2,0,0,3,meal plan 1,0,room_type 1,6,2017,9,22,online,0,0,0,106.07,1,not_canceled
inn00212,2,0,1,1,meal plan 1,0,room_type 1,32,2018,7,18,offline,0,0,0,105.0,1,not_canceled
inn00213,2,0,0,1,meal plan 1,0,room_type 1,4,2017,9,22,online,0,0,0,145.0,2,not_canceled
inn00214,3,0,2,1,meal plan 1,0,room_type 1,195,2018,8,13,online,0,0,0,106.03,1,canceled
inn00215,2,0,2,2,meal plan 1,0,room_type 1,119,2018,8,13,online,0,0,0,114.3,1,not_canceled
inn00216,1,0,1,1,not selected,0,room_type 1,13,2018,12,5,online,0,0,0,88.0,0,not_canceled
inn00217,2,0,0,2,meal plan 1,0,room_type 1,59,2017,10,15,online,0,0,0,89.25,2,not_canceled
inn00218,2,1,2,5,meal plan 1,0,room_type 4,78,2018,3,20,online,0,0,0,86.32,1,not_canceled
inn00219,2,0,0,3,meal plan 1,0,room_type 1,335,2018,10,13,offline,0,0,0,90.0,1,not_canceled
inn00220,2,0,2,5,meal plan 1,0,room_type 1,103,2017,8,22,online,0,0,0,55.96,0,not_canceled
inn00221,1,0,0,2,not selected,0,room_type 1,0,2018,6,8,online,0,0,0,109.0,1,not_canceled
inn00222,2,0,0,1,meal plan 1,0,room_type 1,118,2018,3,1,offline,0,0,0,86.0,0,not_canceled
inn00223,2,0,1,5,meal plan 1,0,room_type 1,56,2018,9,5,online,0,0,0,118.95,0,not_canceled
inn00224,2,0,0,2,meal plan 1,0,room_type 1,107,2018,6,10,offline,0,0,0,130.0,1,not_canceled
inn00225,2,0,1,3,not selected,0,room_type 1,70,2018,4,14,online,0,0,0,90.56,1,not_canceled
inn00226,2,0,0,2,meal plan 1,0,room_type 1,76,2018,4,1,online,0,0,0,87.3,1,not_canceled
inn00227,2,2,2,2,meal plan 1,0,room_type 6,144,2018,5,27,online,0,0,0,177.65,1,canceled
inn00228,1,2,2,2,meal plan 1,0,room_type 6,4,2017,9,19,online,0,0,0,200.75,2,not_canceled
inn00229,2,1,0,2,meal plan 1,0,room_type 1,15,2018,3,18,online,0,0,0,127.0,1,not_canceled
inn00230,1,0,1,2,meal plan 1,0,room_type 1,32,2018,2,5,online,0,0,0,72.9,0,canceled
inn00231,3,0,1,1,meal plan 1,0,room_type 4,49,2018,5,7,online,0,0,0,159.3,0,canceled
inn00232,2,1,1,3,meal plan 1,0,room_type 1,77,2018,5,12,online,0,0,0,135.15,1,not_canceled
inn00233,1,0,0,2,meal plan 1,0,room_type 1,22,2018,10,28,offline,0,0,0,90.0,0,not_canceled
inn00234,2,0,1,0,not selected,0,room_type 1,0,2017,10,18,online,0,0,0,114.0,0,not_canceled
inn00235,2,1,0,1,meal plan 1,1,room_type 1,58,2018,6,21,online,0,0,0,125.1,1,not_canceled
inn00236,2,0,2,6,not selected,0,room_type 1,4,2017,8,14,online,0,0,0,95.13,1,not_canceled
inn00237,2,0,0,2,meal plan 1,0,room_type 5,117,2018,4,29,online,0,0,0,105.84,0,canceled
inn00238,2,0,1,3,meal plan 1,0,room_type 1,36,2018,12,26,online,0,0,0,102.0,0,canceled
inn00239,2,0,2,2,not selected,0,room_type 1,35,2018,12,2,online,0,0,0,74.8,2,not_canceled
inn00240,2,0,1,0,not selected,0,room_type 1,31,2018,4,24,online,0,0,0,94.5,0,canceled
inn00241,2,0,2,4,not selected,0,room_type 1,79,2018,6,16,online,0,0,0,120.6,0,not_canceled
inn00242,2,0,1,2,meal plan 1,0,room_type 1,1,2017,10,9,online,0,0,0,139.33,0,not_canceled
inn00243,2,0,0,2,meal plan 1,0,room_type 1,21,2017,9,3,online,0,0,0,105.0,0,not_canceled
inn00244,2,0,0,2,not selected,0,room_type 1,12,2018,9,14,corporate,0,0,0,100.0,1,not_canceled
